"Atlantic City-Hammonton, NJ Metro Area",5304,2690,3983,7282,9275,14923,12639,14433,8370,7593,4464,3716,13664,14517
"Auburn, IN Micro Area",958,962,1682,1469,1973,2101,2295,1274,620,581,222,134,1879,1647
"Auburn, NY Micro Area",1532,1517,2149,3404,3893,4974,4482,3004,1784,1217,523,349,3554,2598
"Auburn-Opelika, AL Metro Area",2700,2298,2482,5113,6605,10554,8349,6241,2399,3297,1452,825,4132,4592
"Augusta-Richmond County, GA-SC Metro Area",10638,9460,12371,20277,26420,33696,30878,23023,10661,11584,5771,2678,13046,18549
"Augusta-Waterville, ME Micro Area",2407,2730,2777,6476,6120,10275,6613,5132,1426,2364,1091,678,3949,2663
"Austin, MN Micro Area",1091,1057,1434,1735,2213,1762,1951,1026,548,579,355,229,2367,1493
"Austin-Round Rock-San Marcos, TX Metro Area",20643,21291,30663,64775,81682,131613,106409,95305,53154,66773,26943,11466,47952,50850
"Bainbridge, GA Micro Area",593,215,512,736,1346,1605,1978,790,440,453,117,124,489,854
"Bakersfield-Delano, CA Metro Area",26928,21490,23514,28210,29836,38282,33788,22390,9883,13135,6875,3592,19792,20641
"Baltimore-Towson, MD Metro Area",47308,50851,66374,118385,129403,190340,154699,156820,82659,84439,34291,14982,74426,77531
"Bangor, ME Metro Area",3500,3164,3698,5758,8690,10063,9618,5627,2787,3196,1914,963,5883,4945
"Baraboo, WI Micro Area",1765,1222,2017,2505,3391,4234,4712,2353,927,1294,690,371,2549,2851
"Barnstable Town, MA Metro Area",2531,2095,3128,6179,8461,13716,13684,13365,8281,8182,2546,1522,5710,4919
"Barre, VT Micro Area",784,581,1318,2211,3611,5700,4519,3338,1499,1324,606,138,1581,1308
"Bartlesville, OK Micro Area",800,532,819,1446,2756,3401,3785,2217,1247,1157,647,268,1337,1323
"Bastrop, LA Micro Area",430,235,505,1446,974,2094,1126,758,434,327,78,20,716,559
"Batavia, NY Micro Area",1194,1062,1564,2726,3461,4251,3609,3139,1123,1176,709,355,2131,2115
"Batesville, AR Micro Area",591,633,1000,1293,1426,2202,2618,1075,605,380,270,357,847,1470
"Baton Rouge, LA Metro Area",23169,19032,24227,37149,44182,53593,46234,31013,15127,17275,7480,3280,17387,21424
"Battle Creek, MI Metro Area",2677,2489,2853,4304,5286,6727,7948,4978,2075,2734,1463,753,5167,5125
"Bay City, MI Metro Area",1454,1250,2382,4119,5409,6338,6727,3522,2104,2466,1094,539,4074,3325
"Bay City, TX Micro Area",879,1073,1083,1465,1760,2056,2192,973,422,825,282,99,538,1003
"Beatrice, NE Micro Area",403,505,686,888,1061,1358,1915,878,334,373,176,46,766,829
"Beaumont-Port Arthur, TX Metro Area",10613,8864,11017,15939,16732,23300,21022,11860,5926,6543,3207,1255,8189,10579
"Beaver Dam, WI Micro Area",4298,2851,3682,3918,4802,4984,4102,2635,1054,1214,537,404,3963,3247
"Beckley, WV Micro Area",1756,793,1222,2083,3217,3679,4031,3310,1695,1440,791,231,2074,2356
"Bedford, IN Micro Area",858,1414,1409,1755,1921,1997,2811,1368,885,735,241,209,1359,1470
"Beeville, TX Micro Area",702,717,411,418,921,1256,1138,933,270,608,101,63,435,1213
"Bellefontaine, OH Micro Area",1186,1039,1640,1644,1822,2277,2163,1340,711,572,410,161,1897,1955
"Bellingham, WA Metro Area",3804,3097,3955,5828,8868,10447,13051,9233,5955,6834,2893,1468,7312,6036
"Bemidji, MN Micro Area",954,546,653,1252,1905,3089,4117,1749,740,634,386,113,1545,1404
"Bend, OR Metro Area",2252,1388,1834,4377,6547,8751,10551,8102,3921,5439,2444,1106,3986,3011
"Bennettsville, SC Micro Area",591,219,322,695,876,1208,1316,853,307,395,137,107,749,1013
"Bennington, VT Micro Area",634,377,803,1054,1604,2383,2888,2019,1190,1152,477,147,1198,802
"Berlin, NH-VT Micro Area",1295,618,1146,1618,2455,2459,2070,1320,641,730,274,206,1008,783
"Big Rapids, MI Micro Area",1007,631,748,1206,1175,1752,2205,1308,686,861,607,368,1732,1778
"Big Spring, TX Micro Area",309,399,845,603,1379,1483,2594,826,742,542,355,126,796,937
"Billings, MT Metro Area",2882,2024,3297,5259,8035,11484,15540,8364,3996,3975,2214,902,4592,5804
"Binghamton, NY Metro Area",3627,2715,5017,8440,11148,15288,17316,11401,6383,5883,2987,1879,8770,8186
"Birmingham-Hoover, AL Metro Area",22707,21376,26686,49784,56576,83976,61005,40706,18245,23925,10169,4769,28912,29758
"Bishop, CA Micro Area",223,226,400,671,988,1302,1483,620,565,469,366,69,503,348
"Bismarck, ND Metro Area",1693,1399,2639,3495,6570,8469,13911,5172,2641,2274,1099,819,3926,3889
"Blackfoot, ID Micro Area",484,607,1392,1529,1915,2495,3219,1759,761,815,263,148,1066,1395
"Blacksburg-Christiansburg-Radford, VA Metro Area",2628,1861,2701,4414,6264,8186,9988,7679,4515,4914,2319,1349,6079,6243
"Bloomington, IN Metro Area",3262,2878,4008,5633,7444,9808,11551,8802,5038,6014,3441,1385,7201,8153
"Bloomington-Normal, IL Metro Area",1911,1571,3451,6136,10407,12377,14808,9554,4543,3942,1982,1370,5689,6395
"Bloomsburg-Berwick, PA Micro Area",1854,1104,1960,3156,3731,7036,4157,3310,1304,1323,764,374,3571,3820
"Bluefield, WV-VA Micro Area",2032,1057,1861,2596,3978,5577,5881,3952,2018,1967,895,259,3125,3095
"Blytheville, AR Micro Area",1068,705,1617,1564,2064,2578,2378,677,508,727,210,117,1764,1271
"Bogalusa, LA Micro Area",1513,740,1288,1807,1463,2403,1218,1031,496,594,185,53,831,945
"Boise City-Nampa, ID Metro Area",8685,7464,11237,17949,27793,40680,38790,27504,14801,16851,7887,3752,16583,18762
"Bonham, TX Micro Area",1010,879,998,1261,1491,2157,1466,1100,249,436,179,85,578,856
"Boone, IA Micro Area",531,369,761,1165,1442,2137,2216,1058,424,597,185,71,738,1005
"Boone, NC Micro Area",400,311,496,920,1582,2737,3770,2418,1942,1944,1111,615,2877,1968
"Borger, TX Micro Area",583,204,369,692,1337,1233,1383,711,347,395,175,72,439,844
"Boston-Cambridge-Quincy, MA-NH Metro Area",57645,59554,86180,173972,215081,325627,282410,315568,167583,160389,64574,29804,155743,117628
"Boulder, CO Metro Area",2823,2501,4571,8051,9845,18181,20783,20103,12011,13825,5118,2179,9762,8585
"Bowling Green, KY Metro Area",2334,1821,2538,4752,6841,7974,8456,4014,1876,2707,1254,610,5320,5711
"Bozeman, MT Micro Area",1197,601,1465,2212,3954,5590,9584,5833,2973,2817,1709,874,2833,3106
"Bradford, PA Micro Area",850,722,1000,1460,2148,2219,2500,1473,703,592,429,279,1679,1159
"Brainerd, MN Micro Area",1423,1461,1856,2522,3866,5554,7261,3273,1638,1743,841,433,3189,2343
"Branson, MO Micro Area",822,786,1434,2398,2858,4916,4903,3057,2097,2064,1161,535,3165,2738
"Bremerton-Silverdale, WA Metro Area",7704,5332,9073,13837,12906,12805,10458,7564,4875,5669,3085,1593,7182,5235
"Brenham, TX Micro Area",941,428,576,943,1625,2299,2538,1196,536,576,331,231,650,789
"Brevard, NC Micro Area",191,311,548,1019,1069,2318,2333,1102,569,1026,250,335,771,775
"Bridgeport-Stamford-Norwalk, CT Metro Area",7669,8119,13983,32733,38867,62837,59990,63073,36120,31902,13212,5075,21691,17427
"Brigham City, UT Micro Area",1710,1324,1453,1814,1970,2248,1994,1431,1072,1058,274,341,1921,1474
"Brookhaven, MS Micro Area",999,691,955,1344,1605,1660,1489,922,516,521,339,163,592,928
"Brookings, OR Micro Area",519,164,281,307,713,679,1156,1214,418,596,175,62,566,433
"Brookings, SD Micro Area",446,401,794,789,1577,2000,3970,1746,763,755,307,213,1417,1612
"Brownsville, TN Micro Area",415,371,455,689,913,1243,953,396,205,131,72,4,427,801
"Brownsville-Harlingen, TX Metro Area",3741,3213,4209,8859,12238,26073,23984,15872,7259,8655,3543,2137,8532,8002
"Brownwood, TX Micro Area",1008,490,898,750,1135,1971,3408,1736,493,633,377,135,858,937
"Brunswick, GA Metro Area",1362,1832,1845,4640,6042,6849,6788,4706,2566,2457,1249,569,2463,2327
"Bucyrus, OH Micro Area",664,863,851,1659,2159,2074,2096,1790,987,777,358,159,1444,1630
"Buffalo-Niagara Falls, NY Metro Area",12701,10904,21073,38021,51581,73353,72456,60478,36046,28695,13276,7809,43415,40537
"Burley, ID Micro Area",810,678,811,1336,1688,2291,2959,1947,611,809,301,193,1074,1451
"Burlington, IA-IL Micro Area",1670,1126,1329,1747,2252,2569,2835,1530,674,768,368,274,2001,2130
"Burlington, NC Metro Area",2170,1556,2961,5390,7776,10547,10594,6021,2996,4067,1898,712,4853,5077
"Burlington-South Burlington, VT Metro Area",2737,2531,4430,8006,11003,17240,16236,11953,6483,5932,2983,1661,7844,6716
"Butte-Silver Bow, MT Micro Area",522,334,707,778,1305,1409,2834,1645,1077,1056,622,246,1267,1436
"Cadillac, MI Micro Area",1122,614,1163,1351,1711,2207,2639,1571,652,912,476,215,1630,1692
"Calhoun, GA Micro Area",556,562,430,2245,2407,6514,2635,1995,656,904,381,117,1337,1847
"Cambridge, MD Micro Area",1021,520,701,1292,1316,2628,2078,1329,568,563,207,4,1076,892
"Cambridge, OH Micro Area",837,725,1095,1264,1639,1966,1738,1490,717,595,513,157,1456,1358
"Camden, AR Micro Area",773,1189,1588,1618,1236,1543,1865,515,260,320,241,24,589,548
"Campbellsville, KY Micro Area",430,393,685,643,802,1264,1654,796,385,381,190,90,643,780
"Cañon City, CO Micro Area",846,661,915,1177,1621,2181,1670,843,786,684,539,235,910,592
"Canton, IL Micro Area",1186,887,955,1343,1587,2004,1928,1176,441,443,171,138,1146,1260
