GEOID,NAME,UATYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                      
27550,"Emporia, VA Urban Cluster",C,14951316,36108,5.773,0.014,36.698482,-77.545666                                                                                                       
27577,"Emporium, PA Urban Cluster",C,3532997,218920,1.364,0.085,41.510952,-78.240839                                                                                                      
27592,"Enfield, NC Urban Cluster",C,3435501,0,1.326,0.000,36.179194,-77.670750                                                                                                            
27604,"England, AR Urban Cluster",C,3947229,0,1.524,0.000,34.546062,-91.964497                                                                                                            
27631,"Enid, OK Urban Cluster",C,62146213,31297,23.995,0.012,36.401999,-97.891860                                                                                                          
27658,"Ennis, TX Urban Cluster",C,25294495,203888,9.766,0.079,32.332346,-96.630807                                                                                                        
27685,"Enterprise, AL Urban Cluster",C,92123196,151495,35.569,0.058,31.328607,-85.794361                                                                                                   
27712,"Ephraim, UT Urban Cluster",C,5693534,0,2.198,0.000,39.357351,-111.581381                                                                                                            
27739,"Ephrata, WA Urban Cluster",C,7519495,0,2.903,0.000,47.312648,-119.550208                                                                                                            
27750,"Epping, NH Urban Cluster",C,11646708,0,4.497,0.000,43.039743,-71.067012                                                                                                            
27766,"Erie, PA Urbanized Area",U,213058234,319509,82.262,0.123,42.085540,-80.114855                                                                                                       
27793,"Erwin, TN Urban Cluster",C,16815084,117653,6.492,0.045,36.143997,-82.408735                                                                                                        
27820,"Escalon, CA Urban Cluster",C,5098786,0,1.969,0.000,37.792464,-120.995505                                                                                                            
27847,"Escanaba, MI Urban Cluster",C,46488574,283456,17.949,0.109,45.727457,-87.082446                                                                                                     
27874,"Espanola, NM Urban Cluster",C,74080325,634229,28.603,0.245,35.986900,-106.085956                                                                                                     
27885,"Esparto, CA Urban Cluster",C,4229346,0,1.633,0.000,38.695279,-122.019465                                                                                                            
27901,"Estacada, OR Urban Cluster",C,7365552,40488,2.844,0.016,45.297544,-122.331858                                                                                                       
27928,"Estes Park, CO Urban Cluster",C,19403012,49049,7.492,0.019,40.363508,-105.518915                                                                                                    
27955,"Estherville, IA Urban Cluster",C,7461225,0,2.881,0.000,43.404042,-94.834568                                                                                                        
27991,"Estrella, AZ Urban Cluster",C,18874609,0,7.288,0.000,33.328739,-112.442969                                                                                                          
28009,"Etowah, TN Urban Cluster",C,8903244,0,3.438,0.000,35.337425,-84.525157                                                                                                             
28063,"Eudora, KS Urban Cluster",C,6497116,107100,2.509,0.041,38.934959,-95.096968                                                                                                        
